WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,0,72.0,241.7,41.85,90.1,0.46499999999999997,13.1,35.55,0.3705,28.75,54.55,0.527,18.05,23.3,0.7734999999999999,10.25,34.4,44.65,26.200000000000003,8.2,5.5,14.8,20.4,114.9
0,0,72.0,242.1,42.2,89.19999999999999,0.473,12.55,34.25,0.364,29.65,54.900000000000006,0.5395000000000001,17.8,23.6,0.7595000000000001,10.3,34.3,44.599999999999994,25.95,7.65,5.15,13.95,19.65,114.75
1,0,72.0,242.1,38.65,86.35,0.448,11.9,32.8,0.36450000000000005,26.799999999999997,53.5,0.501,16.65,21.549999999999997,0.7725,9.7,34.95,44.6,22.5,6.8,5.25,12.850000000000001,19.2,105.85
0,0,72.0,241.0,41.099999999999994,89.85,0.45699999999999996,12.75,36.2,0.3515,28.35,53.65,0.5285,15.4,20.55,0.749,10.0,36.35,46.35,23.950000000000003,8.0,4.85,14.600000000000001,18.35,110.3
0,0,72.0,240.7,40.25,89.45,0.45,12.3,34.3,0.358,27.95,55.15,0.5075000000000001,15.9,20.35,0.7805,10.100000000000001,36.35,46.4,23.9,7.25,4.85,12.75,17.95,108.65
1,1,72.0,242.1,40.4,86.9,0.4645,11.600000000000001,31.55,0.367,28.8,55.349999999999994,0.5205,18.5,24.15,0.7655000000000001,9.9,34.1,44.0,23.6,8.15,5.45,15.0,20.6,110.85
1,0,72.0,242.8,41.9,87.55,0.47850000000000004,12.35,33.7,0.366,29.6,53.85,0.5489999999999999,16.2,20.2,0.806,9.100000000000001,33.75,42.8,24.9,7.050000000000001,3.95,13.05,18.55,112.4
1,0,72.0,240.3,41.55,89.69999999999999,0.46299999999999997,14.3,37.7,0.37850000000000006,27.25,51.95,0.5235,17.85,22.200000000000003,0.8049999999999999,10.25,34.7,44.95,23.1,6.5,4.8,11.75,19.0,115.19999999999999
0,0,72.0,240.3,43.1,89.0,0.48450000000000004,12.25,32.95,0.372,30.85,56.05,0.55,17.1,22.35,0.766,10.05,33.3,43.3,25.4,7.55,4.85,13.55,19.049999999999997,115.55000000000001
0,0,72.0,242.8,42.15,90.15,0.467,11.100000000000001,30.5,0.3635,31.0,59.650000000000006,0.5205,16.549999999999997,21.35,0.775,9.75,35.900000000000006,45.65,24.6,6.65,5.1,12.3,18.3,111.94999999999999
0,0,72.0,240.3,39.35,86.7,0.4545,14.2,38.0,0.3735,25.200000000000003,48.65,0.5175000000000001,18.6,23.05,0.8069999999999999,9.7,34.0,43.75,25.05,7.6,5.5,14.65,20.35,111.5
1,0,72.0,241.0,41.099999999999994,89.75,0.4575,13.8,37.4,0.365,27.25,52.35,0.524,15.85,20.2,0.7835000000000001,10.2,35.2,45.45,23.0,7.15,4.55,12.85,18.75,111.80000000000001
0,0,72.0,241.7,43.150000000000006,91.25,0.473,11.3,31.35,0.36,31.85,59.9,0.5309999999999999,19.950000000000003,25.799999999999997,0.7749999999999999,10.0,35.65,45.650000000000006,25.0,7.75,4.449999999999999,14.55,21.8,117.55
