G_OFF,MP_OFF,FG%_OFF,3P%_OFF,2P%_OFF,FT%_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG%_DEF,3P%_DEF,2P%_DEF,FT%_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
72,241.4,0.46799999999999997,0.358,0.5529999999999999,0.79,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,72,241.4,0.45899999999999996,0.365,0.5379999999999999,0.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0,1,1
72,240.7,0.48700000000000004,0.389,0.5539999999999999,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,72,240.7,0.456,0.384,0.507,0.78,9.6,33.8,43.4,25.1,7.0,4.8,13.2,18.3,114.2,1,1
72,241.7,0.44799999999999995,0.349,0.518,0.7609999999999999,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,72,241.7,0.48200000000000004,0.392,0.536,0.7859999999999999,10.0,35.8,45.8,26.8,7.6,5.5,15.3,19.9,117.7,0,0
72,242.1,0.47700000000000004,0.348,0.544,0.7290000000000001,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,72,242.1,0.469,0.38,0.535,0.79,8.9,32.9,41.8,25.9,7.7,5.9,13.3,21.3,114.9,0,0
72,242.1,0.456,0.392,0.49,0.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,72,242.1,0.44,0.337,0.512,0.7609999999999999,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7,1,0
72,241.0,0.441,0.33899999999999997,0.509,0.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,72,241.0,0.473,0.364,0.5479999999999999,0.773,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6,0,0
72,240.7,0.429,0.34299999999999997,0.47600000000000003,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,72,240.7,0.47100000000000003,0.373,0.539,0.7859999999999999,9.8,37.6,47.4,26.0,7.6,5.3,12.7,18.7,113.3,0,0
72,242.1,0.47600000000000003,0.374,0.531,0.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,72,242.1,0.45299999999999996,0.36,0.51,0.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1,1,1
72,242.8,0.49,0.37799999999999995,0.563,0.8340000000000001,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,72,242.8,0.467,0.354,0.535,0.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5,1,0
72,240.3,0.45299999999999996,0.385,0.509,0.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,72,240.3,0.473,0.3720000000000001,0.5379999999999999,0.787,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3,1,0
72,240.3,0.48100000000000004,0.364,0.551,0.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,72,240.3,0.488,0.38,0.5489999999999999,0.787,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4,0,0
72,242.8,0.462,0.35,0.514,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,72,242.8,0.47200000000000003,0.377,0.527,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8,0,0
72,240.3,0.44799999999999995,0.368,0.512,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,72,240.3,0.461,0.379,0.523,0.799,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7,0,0
72,241.0,0.46799999999999997,0.389,0.544,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,72,241.0,0.447,0.341,0.504,0.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2,1,0
72,241.7,0.475,0.35100000000000003,0.5329999999999999,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,72,241.7,0.47100000000000003,0.369,0.529,0.7809999999999999,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5,0,0
